Member_number,Recency,Frequency,Monetary
1304,135,7,68.5
1305,220,12,114.3
1306,40,9,58.19
1307,191,12,66.7
1308,291,8,89.4
1309,273,11,88.35
1310,403,4,12.4
1311,184,8,79.5
1312,226,14,197.8
1313,5,2,17.3
1314,481,2,2.9
1315,53,6,82.0
1316,279,6,49.6
1317,522,6,32.54
1318,95,5,51.3
1319,134,9,63.8
1320,345,10,90.72
1321,261,5,14.6
1322,72,15,140.64
1323,57,7,39.1
1324,3,14,179.2
1325,218,9,80.3
1326,51,11,103.8
1327,143,18,136.92
1328,281,10,88.82
1329,221,16,146.6
1330,58,11,118.4
1331,31,9,61.75
1332,28,15,64.1
1333,99,18,145.5
1334,206,5,27.0
1335,73,12,94.45
1336,270,9,192.85
1337,5,4,70.5
1338,506,5,25.1
1339,32,12,76.7
1340,42,14,82.7
1341,61,12,139.4
1342,314,13,132.05
1343,59,10,124.22
1344,117,5,25.5
1345,162,10,78.36
1346,236,7,59.7
1347,106,13,118.2
1348,104,6,58.0
1349,17,11,77.52
1350,483,6,19.2
1351,307,6,63.1
1354,29,13,74.95
1355,102,13,92.7
1356,113,10,131.44
1357,115,6,24.3
1358,1,12,98.4
1359,580,4,46.4
1360,14,16,195.2
1361,113,17,100.9
1362,85,5,62.7
1363,77,13,96.6
1364,152,8,35.4
1365,58,12,62.5
1367,147,5,70.9
1368,168,2,33.9
1369,394,8,23.6
1370,178,11,61.1
1371,233,6,90.3
1372,188,10,97.3
1373,164,14,153.4
1374,147,10,33.2
1375,80,2,7.2
1376,183,7,37.58
1377,291,11,92.9
1378,79,4,52.5
1380,39,11,101.1
1381,282,15,104.75
1382,92,6,43.0
1383,310,6,41.0
1384,11,15,86.6
1385,34,15,164.7
1386,152,6,54.8
1387,578,6,47.46
1388,271,7,44.2
1389,315,8,36.3
1390,303,12,99.87
1391,131,13,97.4
1392,254,6,85.9
1393,491,7,44.15
1394,220,4,56.1
1395,79,23,174.64
1396,161,8,106.52
1397,9,2,11.8
1398,259,8,86.51
1399,385,9,80.1
1400,445,2,7.8
1401,215,4,13.6
1402,442,4,17.8
1403,228,10,68.4
1404,241,18,159.5
1405,305,6,45.2
1406,2,12,102.2
1408,160,7,31.9
1409,155,6,37.06
1411,313,4,70.32
1412,44,12,86.27
1413,381,7,63.8
1414,220,2,3.4
1415,367,4,10.8
1416,130,14,137.7
1417,103,10,70.1
1418,393,7,38.7
1419,267,15,165.5
1420,22,11,82.35
1421,145,11,50.12
1422,87,19,152.4
1423,443,6,49.46
1424,82,6,79.3
1425,97,10,44.32
1426,175,10,74.04
1427,34,16,92.4
1428,346,13,107.14
1429,326,5,31.1
1430,13,16,203.6
1431,53,9,48.3
1432,148,11,96.1
1433,464,4,50.6
1434,397,8,49.5
1435,250,15,175.55
1436,304,2,13.49
1437,137,4,20.05
1438,32,17,188.94
1439,139,2,10.9
1440,24,12,102.6
1442,121,13,88.1
1443,82,11,93.4
1444,1,20,163.32
1445,607,6,25.8
1446,484,8,63.26
1447,573,3,30.0
1448,286,4,39.1
1449,88,9,54.45
1450,44,15,106.1
1451,337,6,54.56
1452,35,15,191.04
1453,404,4,34.8
1454,69,11,110.7
1455,287,2,20.4
1456,40,18,168.74
1457,355,12,139.4
1458,128,7,46.9
1459,165,4,32.66
1460,189,10,163.7
1461,9,8,77.3
1462,462,4,19.7
1463,6,6,35.1
1464,210,5,21.8
1465,51,17,190.96
1466,29,22,209.8
1467,132,5,73.0
1468,82,15,105.24
1469,489,2,9.5
1470,567,2,29.7
1471,496,4,16.8
1472,102,16,112.6
1473,89,10,93.9
1474,154,12,84.8
1475,13,10,106.93
1476,126,13,111.84
1477,40,17,172.9
1478,321,8,71.2
1479,229,14,95.29
1480,39,13,114.44
1481,209,4,23.8
1482,38,20,115.28
1483,186,19,169.22
1484,84,8,143.6
1485,171,4,51.9
1486,16,17,115.9
1487,423,7,34.9
1488,32,8,96.8
1489,190,13,60.7
1490,87,4,45.5
1491,0,11,108.4
1492,335,11,98.0
1493,90,15,113.7
1494,92,16,175.74
1495,355,9,62.5
1496,613,2,16.8
1497,81,9,123.42
1498,63,8,56.1
1499,51,10,48.5
1500,284,16,127.52
1501,135,10,122.6
1502,60,7,49.3
1503,135,9,94.5
1504,30,11,151.7
1505,64,8,100.56
1506,370,5,76.0
1507,191,16,130.6
1508,45,8,35.9
1509,0,17,146.2
1510,66,18,174.51
1511,283,4,40.42
1512,101,10,59.21
1513,48,10,115.8
1514,128,10,63.54
1515,32,13,93.1
1516,336,4,70.72
1517,151,9,55.5
1518,19,7,66.45
1519,428,2,13.4
1520,307,6,81.5
1521,369,6,86.8
1522,371,19,216.19
1523,277,10,124.75
1524,25,9,52.8
1525,431,5,61.1
1526,34,11,84.49
1527,0,14,65.9
1528,106,8,85.5
1529,196,7,49.7
1530,445,5,40.9
1531,345,4,27.7
1532,193,6,93.3
1533,53,6,60.14
1534,139,18,153.31
1535,180,8,114.36
1536,242,8,60.4
1537,332,5,16.0
1538,30,6,45.55
1539,94,5,37.6
1540,34,12,130.9
1542,145,13,136.2
1544,308,9,74.16
1545,74,7,36.8
1546,361,9,51.8
1547,256,7,57.5
1548,455,6,45.1
1549,287,9,120.85
1550,230,7,67.95
1551,141,13,92.7
1553,162,14,95.7
1554,223,15,183.5
1555,278,2,37.2
1556,578,2,20.9
1557,148,4,108.6
1558,268,2,15.4
1559,88,7,103.0
1560,593,2,1.9
1561,158,19,135.55
1562,233,6,66.9
1563,612,5,35.0
1564,68,8,83.0
1566,41,21,145.76
1567,263,17,192.08
1569,589,8,46.4
1570,285,5,41.0
1571,220,8,34.5
1572,100,20,182.1
1573,343,6,36.9
1574,148,23,205.7
1575,360,10,38.62
1577,289,2,32.1
1578,190,8,57.2
1579,563,2,11.5
1580,25,16,53.35
1581,139,6,83.7
1582,146,6,95.06
1583,37,20,157.65
1584,173,16,141.95
1585,357,8,38.3
1586,607,6,25.9
1587,182,13,101.62
1588,78,8,109.54
1589,490,4,46.0
1590,137,6,43.7
1591,285,10,103.2
1592,397,2,4.4
1593,144,7,32.6
1594,341,6,23.3
1595,86,21,171.5
1596,169,10,35.45
1597,328,8,58.2
1598,303,7,29.2
1599,78,13,71.64
1601,21,6,85.5
1602,123,14,148.0
1603,91,15,106.75
1604,49,8,48.0
1605,177,11,47.1
1606,49,8,128.0
1607,444,6,35.76
1608,47,18,170.12
1609,13,15,203.1
1610,218,6,25.7
1611,270,10,93.85
1612,54,16,102.3
1613,127,15,164.7
1614,70,4,85.42
1615,27,12,69.5
1616,22,13,132.0
1617,275,9,35.1
1618,150,16,192.72
1619,62,11,132.61
1620,132,11,160.1
1621,313,14,150.72
1622,294,10,72.96
1623,58,12,135.7
1624,8,9,151.0
1625,33,18,205.26
1626,315,2,4.1
1627,263,9,37.0
1628,41,15,118.4
1629,205,6,60.9
1630,222,4,16.5
1631,138,5,48.6
1632,15,14,117.04
1633,143,6,32.62
1634,27,19,107.3
1635,35,6,41.86
1636,25,12,119.6
1638,293,8,81.5
1639,81,7,114.8
1641,190,12,94.7
1642,458,2,5.9
1643,246,4,12.0
1644,535,5,62.62
1645,451,4,31.7
1646,124,17,151.66
1647,10,7,82.88
1648,243,10,89.0
1649,31,18,178.7
1650,551,6,39.8
1652,288,12,105.5
1653,23,18,201.0
1655,40,9,109.1
1656,61,12,107.14
1657,597,6,38.9
1658,118,12,113.3
1659,30,15,145.5
1660,157,7,76.25
1661,52,17,115.16
1662,201,5,30.0
1663,49,13,100.1
1664,273,10,57.4
1665,31,6,30.0
1666,259,4,38.7
1667,352,2,41.6
1668,131,11,127.2
1669,133,9,52.74
1670,38,9,73.5
1672,84,6,39.6
1674,26,12,115.55
1676,80,10,57.6
1678,46,8,61.4
1679,22,11,53.2
1680,385,6,67.2
1681,542,6,20.1
1682,59,20,155.66
1683,132,5,29.2
1684,361,8,79.9
1685,134,8,26.7
1686,594,6,39.9
1687,439,11,85.3
1688,50,2,10.1
1689,386,5,54.8
1690,131,16,125.8
1692,185,15,121.65
1693,3,12,71.9
1694,455,6,37.8
1695,329,2,20.6
1696,87,13,81.95
1697,43,15,78.66
1698,161,8,50.64
1699,96,10,98.4
1700,61,4,18.64
1701,227,2,37.9
1702,350,12,71.5
1703,312,14,125.6
1705,79,8,50.85
1706,138,14,155.0
1707,204,4,24.5
1708,2,16,159.4
1709,252,4,34.4
1710,25,6,100.0
1711,38,19,163.66
1712,487,5,79.1
1714,150,5,44.4
1716,501,8,101.2
1717,51,8,55.3
1718,291,7,62.95
1719,104,13,85.84
1720,25,7,39.04
1721,76,6,11.8
1722,125,13,68.45
1723,22,10,87.34
1724,112,11,107.0
1725,429,6,82.35
1726,4,13,132.1
1727,165,6,32.4
1728,137,7,41.1
1729,15,15,174.7
1730,5,8,43.0
1731,40,12,97.2
1732,215,7,50.0
1733,190,17,133.6
1734,170,17,181.0
1735,511,5,104.0
1736,123,12,83.0
1737,116,21,156.95
1738,455,8,40.85
1739,213,4,55.9
1740,404,16,125.8
1741,10,13,117.6
1742,18,9,111.7
1743,47,14,86.6
1744,93,4,7.65
1746,77,10,49.5
1747,378,11,67.2
1748,297,19,85.8
1749,360,8,87.34
1750,325,12,112.96
1751,280,10,58.9
1752,255,10,48.6
1753,131,17,124.5
1754,104,14,108.8
1755,574,4,16.9
1756,98,9,72.6
1757,7,15,108.0
1758,307,14,127.84
1759,95,12,127.8
1760,341,8,50.8
1762,182,4,11.0
1763,3,7,57.45
1764,45,11,58.6
1765,294,8,112.8
1766,343,5,79.75
1767,67,12,102.36
1768,117,19,122.61
1769,0,5,26.8
1770,41,10,45.52
1771,282,6,34.0
1772,58,8,57.5
1773,59,9,71.1
1774,145,12,62.65
1775,80,2,41.4
1776,259,14,109.3
1777,27,20,185.9
1778,373,6,85.3
1779,63,9,101.1
1780,78,21,119.05
1781,207,6,65.46
1782,81,13,164.2
1783,176,18,126.24
1784,95,7,66.7
1785,9,19,193.0
1786,323,6,24.3
1788,10,16,105.55
1789,69,10,100.4
1790,276,4,22.7
1791,454,8,59.4
1792,137,13,182.84
1794,104,5,26.3
1795,271,4,65.75
1796,57,14,86.4
1797,411,11,92.09
1798,363,17,135.2
1799,94,9,46.82
1800,152,12,81.4
1801,201,11,47.3
1803,232,9,53.9
1804,30,9,81.9
1805,204,7,42.3
1806,177,10,108.12
1807,12,6,85.7
1808,162,10,109.8
1809,429,6,38.4
1810,443,12,107.2
1811,98,18,145.3
1812,77,4,49.8
1813,394,3,50.9
1814,40,12,97.4
1815,122,11,67.3
1816,496,10,88.11
1817,131,12,133.2
1818,111,10,48.6
1819,12,17,206.9
1820,267,10,85.4
1821,223,8,140.2
1822,302,12,59.9
1823,33,11,120.9
1824,59,9,70.4
1825,39,13,104.9
1826,376,2,11.7
1827,182,23,158.6
1828,281,9,38.25
1829,194,8,67.0
1830,348,4,36.5
1831,355,7,67.15
1832,43,16,154.75
1833,159,10,80.8
1834,38,7,72.16
1835,191,10,106.64
1836,113,6,95.0
1837,174,12,87.75
1838,280,10,91.9
1839,82,11,142.2
1840,367,5,40.9
1841,234,4,28.6
1842,310,6,45.8
1843,24,9,56.65
1844,47,15,109.72
1845,145,7,20.0
1846,31,12,62.5
1847,257,9,60.05
1848,177,8,47.25
1849,188,8,61.42
1850,294,8,99.2
1851,172,10,82.0
1852,478,9,54.52
1853,213,9,126.1
1854,157,6,38.7
1855,51,13,160.65
1856,65,8,95.9
1857,111,5,80.7
1858,249,5,38.7
1859,216,11,161.4
1860,522,4,14.7
1861,140,5,32.9
1863,148,14,110.6
1864,94,8,61.6
1865,27,14,146.6
1867,276,11,67.7
1868,424,7,68.5
1869,228,11,51.0
1871,381,2,21.9
1872,128,10,47.7
1873,102,5,39.1
1874,154,9,35.9
1875,154,5,69.9
1876,197,2,25.3
1877,456,11,43.22
1878,33,21,127.61
1879,417,8,34.4
1880,106,4,18.8
1881,76,11,51.05
1882,96,6,97.4
1883,55,10,66.7
1884,19,12,105.05
1885,5,11,78.5
1886,28,4,22.56
1887,51,22,185.8
1888,207,14,183.1
1890,217,8,197.2
1891,543,6,22.8
1892,40,15,109.12
1893,270,8,92.3
1894,88,14,141.2
1895,402,13,118.38
1896,379,12,111.3
1897,339,8,47.4
1898,414,2,12.8
1899,67,12,93.64
1900,97,10,74.44
1901,31,12,99.2
1902,29,7,59.22
1903,295,10,62.45
1904,256,6,61.2
1907,164,5,51.2
1908,157,20,180.64
1909,121,7,44.8
1910,61,10,85.6
1911,211,7,74.66
1912,130,6,55.1
1913,134,16,195.7
1914,209,7,36.55
1915,145,4,13.0
1916,44,7,34.65
1917,154,11,137.0
1918,92,4,70.4
1919,134,4,39.6
1920,317,6,30.0
1921,49,14,193.0
1922,84,19,98.9
1923,24,12,93.15
1924,43,14,72.99
1925,575,2,10.7
1926,75,6,65.0
1927,229,6,38.6
1928,104,9,99.8
1929,173,21,126.9
1930,45,13,115.3
1931,82,16,157.7
1932,114,20,179.8
1933,435,2,16.2
1934,146,19,185.8
1935,489,11,49.6
1936,137,6,42.2
1937,74,13,67.8
1938,236,10,72.0
1939,61,14,137.52
1940,42,11,204.15
1941,105,5,36.6
1942,441,4,39.0
1943,91,20,140.86
1944,121,4,21.7
1945,244,14,115.9
1946,22,12,110.5
1947,532,9,112.0
1948,127,21,129.75
1950,49,10,43.35
1951,69,6,108.1
1952,37,10,85.3
1953,296,4,57.2
1954,146,11,114.62
1955,320,8,76.12
1957,333,4,20.8
1958,180,7,101.5
1959,17,19,160.6
1960,355,4,25.2
1961,15,12,54.9
1962,205,10,70.8
1963,0,2,11.1
1964,394,10,53.17
1965,148,4,44.2
1966,433,16,91.24
1967,64,15,93.95
1968,88,11,101.0
1969,160,14,76.76
1970,567,9,100.7
1971,103,8,120.55
1972,211,5,25.9
1973,67,2,114.9
1974,241,5,76.6
1975,95,4,23.3
1976,77,3,6.7
1977,352,3,41.9
1978,299,6,105.9
1979,39,17,193.7
1980,76,10,49.83
1981,60,4,54.7
1982,16,7,89.2
1983,143,16,199.6
1985,34,8,39.75
1987,76,9,76.0
1988,113,6,56.9
1989,112,2,7.6
1990,151,6,42.2
1991,21,23,201.2
1992,124,8,103.8
1993,175,9,81.9
1994,86,12,83.1
1995,201,15,58.22
1996,234,10,51.75
1997,2,21,150.12
1999,128,16,159.24
2000,129,7,82.4
2002,71,7,47.3
2003,37,6,44.7
2004,131,13,118.8
2005,99,13,83.99
2006,22,4,32.0
2007,37,6,51.85
2008,70,6,11.65
2009,80,6,49.4
2010,11,12,55.34
2011,7,18,86.86
2012,276,4,13.2
2013,122,7,32.45
2014,190,19,84.5
2015,232,4,22.6
2016,137,4,47.6
2017,68,16,180.4
2018,127,13,139.6
2019,46,18,91.1
2020,41,9,67.8
2021,352,2,20.6
2023,121,7,64.1
2024,527,4,10.25
2025,412,8,73.4
2026,411,4,75.2
2027,447,4,37.45
2028,10,13,134.29
2029,175,11,86.7
2030,117,7,33.22
2031,307,13,153.9
2032,155,7,54.45
2033,319,11,201.5
2034,80,6,62.46
2035,7,11,113.22
2036,490,6,32.3
2037,255,8,101.95
2038,227,10,76.95
2039,99,4,47.4
2040,84,15,140.0
2041,97,14,146.7
2042,41,14,139.24
2043,253,16,113.56
2044,14,9,66.01
2045,23,15,148.4
2046,131,5,35.25
2047,10,12,96.8
2048,14,12,73.2
2049,84,9,95.3
2050,185,4,23.9
2053,100,8,32.2
2054,15,12,95.12
2055,52,17,101.85
2056,36,18,145.23
2057,47,5,32.54
2058,209,12,65.76
2059,479,9,165.35
2060,157,5,36.4
2061,3,9,112.0
2062,99,8,48.11
2063,33,13,116.9
2064,131,8,53.0
2065,342,14,84.0
2066,223,12,137.7
2067,140,9,36.54
2068,206,12,81.65
2069,181,10,146.1
2071,77,10,82.66
2072,32,12,73.2
2073,195,9,83.65
2074,10,11,55.2
2075,344,6,18.0
2076,26,8,58.0
2077,229,15,170.9
2078,75,6,59.04
2079,164,14,168.41
2080,253,5,53.6
2081,342,10,103.0
2082,37,10,45.9
2083,53,12,108.0
2084,137,3,25.3
2085,252,8,66.7
2086,211,20,182.4
2087,265,10,70.0
2088,324,5,32.7
2089,60,16,161.3
2091,72,11,69.4
2092,54,16,95.3
2093,201,16,159.3
2094,602,6,34.44
2095,92,6,38.2
2096,339,2,8.6
2097,90,11,111.27
2098,436,7,35.8
2100,78,15,151.14
2101,10,11,39.6
2102,234,12,108.5
2103,294,2,20.55
2104,71,9,110.4
2105,343,5,72.06
2106,36,12,56.4
2107,33,18,107.5
2108,90,6,53.1
2109,63,10,51.9
2110,154,8,81.5
2111,308,8,63.51
2112,572,4,19.0
2113,114,8,44.6
2114,54,6,33.3
2115,42,7,61.4
2116,123,4,12.1
2117,53,13,146.28
2118,165,5,68.2
2119,97,8,69.2
2120,84,14,180.0
2121,422,4,20.6
2122,267,10,82.15
2123,572,3,38.6
2125,188,6,60.9
2126,612,2,49.0
2127,41,12,95.22
2128,142,11,111.23
2129,141,15,109.9
2131,125,12,90.0
2132,376,11,76.2
2133,147,16,169.96
2134,95,7,69.4
2135,339,8,62.8
2136,323,2,9.0
2137,614,4,93.3
2139,258,12,81.6
2140,0,6,22.7
2141,297,9,31.0
2142,188,19,156.0
2143,158,7,49.3
2144,359,10,148.6
2145,18,5,16.8
2146,193,6,72.9
2147,48,9,53.6
2148,164,10,62.25
2149,221,9,93.0
2151,92,11,176.94
2152,118,11,78.9
2153,381,4,17.09
2154,290,11,97.7
2155,414,8,40.4
2156,145,9,44.2
2157,62,11,120.56
2158,151,11,56.8
2159,166,8,80.06
2160,85,12,126.96
2161,462,4,19.92
2162,194,10,107.5
2165,115,12,65.3
2166,20,15,117.75
2167,22,9,122.4
2168,35,7,40.95
2169,59,11,83.4
2170,195,10,94.45
2171,118,18,187.5
2172,303,5,59.8
2173,141,4,40.1
2174,468,7,30.8
2175,299,13,102.52
2176,144,13,108.8
2177,454,6,43.85
2178,10,11,177.1
2179,258,4,41.15
2180,377,5,21.1
2181,190,7,73.6
2183,366,7,45.6
2185,80,11,69.9
2186,120,20,128.25
2187,136,6,37.75
2188,32,10,74.75
2190,80,6,39.1
2191,50,10,101.67
2192,323,5,27.3
2194,208,15,127.91
2195,173,8,58.76
2196,82,14,103.4
2197,542,2,13.8
2198,507,2,22.8
2199,576,4,33.0
2200,81,10,94.9
2201,222,14,117.65
2202,93,13,169.45
2203,186,2,64.2
2204,94,12,108.6
2205,298,8,54.3
2206,74,7,40.5
2207,266,8,74.2
2208,153,8,95.8
2209,88,14,156.4
2211,31,13,74.3
2212,63,12,88.4
2213,492,2,5.3
2214,345,4,30.6
2215,34,14,128.8
2216,43,2,24.2
2217,28,8,91.05
2218,181,13,80.6
2219,257,6,19.2
2220,148,6,28.2
2221,12,6,83.42
2222,2,19,170.95
2225,246,10,82.5
2226,296,13,108.1
2227,193,5,27.7
2228,214,4,45.66
2229,8,22,210.51
2230,216,17,186.6
2231,27,15,109.2
2232,238,14,155.7
2233,124,9,86.05
2234,6,20,164.2
2235,66,13,113.35
2236,330,13,104.36
2237,324,9,89.6
2238,24,12,100.9
2239,17,12,69.41
2240,29,12,81.54
2241,73,9,78.9
2242,208,12,87.82
2243,106,10,74.9
2244,276,15,141.8
2245,229,8,98.56
2246,123,5,108.3
2247,213,11,68.15
2248,288,2,4.4
2249,215,4,55.1
2250,76,8,73.4
2251,190,16,205.0
2252,83,20,131.17
2253,162,6,34.3
2254,340,12,135.7
2255,12,12,105.85
2256,131,9,85.35
2257,229,8,64.9
2258,437,7,33.3
2259,562,6,26.15
2260,61,8,62.75
2261,184,13,65.5
2262,56,10,108.95
2263,181,2,39.9
2264,352,8,59.2
2265,96,14,93.85
2266,91,9,86.3
2267,49,14,151.6
2269,101,6,81.9
2272,116,13,142.0
2273,33,14,89.0
2274,359,11,79.34
2275,150,4,33.32
2276,353,7,58.7
2277,346,7,89.46
2278,142,6,42.84
2279,400,8,90.6
2280,353,4,35.5
2281,64,2,53.7
2282,233,3,57.6
2283,346,7,38.42
2284,287,13,131.4
2285,14,4,26.2
2286,26,6,99.9
2287,14,8,84.2
2288,213,12,83.12
2289,56,16,137.84
2290,111,11,94.2
2291,101,12,97.85
2292,280,2,12.4
2293,11,19,140.56
2294,98,22,202.0
2295,2,10,47.9
2296,566,2,5.35
2297,304,2,5.92
2298,85,20,166.8
2299,50,7,69.07
2300,102,10,107.3
2301,6,9,39.35
2303,518,6,122.6
2304,182,2,6.4
2305,93,7,102.34
2306,82,13,93.54
2307,184,11,121.62
2308,476,6,28.6
2309,1,12,64.07
2310,281,16,137.68
2311,59,17,117.2
2312,229,9,74.5
2313,315,5,38.54
2314,35,10,67.3
2315,10,14,128.42
2316,205,6,83.16
2318,348,6,33.7
2319,234,6,82.3
2320,387,10,110.9
2321,197,13,121.2
2323,368,6,52.3
2324,134,6,41.6
2325,258,15,110.58
2326,31,9,57.3
2327,22,10,78.0
2328,311,7,69.7
2329,168,4,30.3
2330,420,4,17.4
2331,32,13,82.22
2332,15,13,97.8
2335,160,5,30.2
2336,84,11,120.84
2337,137,13,105.8
2338,22,11,121.2
2339,589,10,110.0
2340,32,18,134.4
2341,373,10,115.02
2342,376,4,26.3
2343,214,9,37.1
2345,13,10,51.5
2346,104,15,191.9
2347,337,4,33.3
2348,19,18,158.91
2349,166,16,116.32
2350,579,4,10.5
2351,358,6,62.64
2352,239,6,53.09
2353,242,9,50.7
2354,497,6,15.3
2355,159,12,89.7
2356,121,14,129.0
2357,98,19,149.35
2358,15,9,111.16
2359,124,13,101.62
2360,315,6,73.3
2361,88,8,57.5
2362,37,14,105.75
2363,66,11,156.6
2364,113,15,106.3
