Recency,Frequency,Monetary
131,16,125.8
185,15,121.65
3,12,71.9
455,6,37.8
329,2,20.6
87,13,81.95
43,15,78.66
161,8,50.64
96,10,98.4
61,4,18.64
227,2,37.9
350,12,71.5
312,14,125.6
79,8,50.85
138,14,155.0
204,4,24.5
2,16,159.4
252,4,34.4
25,6,100.0
38,19,163.66
487,5,79.1
150,5,44.4
501,8,101.2
51,8,55.3
291,7,62.95
104,13,85.84
25,7,39.04
76,6,11.8
125,13,68.45
22,10,87.34
112,11,107.0
429,6,82.35
4,13,132.1
165,6,32.4
137,7,41.1
15,15,174.7
5,8,43.0
40,12,97.2
215,7,50.0
190,17,133.6
170,17,181.0
511,5,104.0
123,12,83.0
116,21,156.95
455,8,40.85
213,4,55.9
404,16,125.8
10,13,117.6
18,9,111.7
47,14,86.6
93,4,7.65
77,10,49.5
378,11,67.2
297,19,85.8
360,8,87.34
325,12,112.96
280,10,58.9
255,10,48.6
131,17,124.5
104,14,108.8
574,4,16.9
98,9,72.6
7,15,108.0
307,14,127.84
95,12,127.8
341,8,50.8
182,4,11.0
3,7,57.45
45,11,58.6
294,8,112.8
343,5,79.75
67,12,102.36
117,19,122.61
0,5,26.8
41,10,45.52
282,6,34.0
58,8,57.5
59,9,71.1
145,12,62.65
80,2,41.4
259,14,109.3
27,20,185.9
373,6,85.3
63,9,101.1
78,21,119.05
207,6,65.46
81,13,164.2
176,18,126.24
95,7,66.7
9,19,193.0
323,6,24.3
10,16,105.55
69,10,100.4
276,4,22.7
454,8,59.4
137,13,182.84
104,5,26.3
271,4,65.75
57,14,86.4
411,11,92.09
363,17,135.2
94,9,46.82
152,12,81.4
201,11,47.3
232,9,53.9
30,9,81.9
204,7,42.3
177,10,108.12
12,6,85.7
162,10,109.8
429,6,38.4
443,12,107.2
98,18,145.3
77,4,49.8
394,3,50.9
40,12,97.4
122,11,67.3
496,10,88.11
131,12,133.2
111,10,48.6
12,17,206.9
267,10,85.4
223,8,140.2
302,12,59.9
33,11,120.9
59,9,70.4
39,13,104.9
376,2,11.7
182,23,158.6
281,9,38.25
194,8,67.0
348,4,36.5
355,7,67.15
43,16,154.75
159,10,80.8
38,7,72.16
191,10,106.64
113,6,95.0
174,12,87.75
280,10,91.9
82,11,142.2
367,5,40.9
234,4,28.6
310,6,45.8
24,9,56.65
47,15,109.72
145,7,20.0
31,12,62.5
257,9,60.05
177,8,47.25
188,8,61.42
294,8,99.2
172,10,82.0
478,9,54.52
213,9,126.1
157,6,38.7
51,13,160.65
65,8,95.9
111,5,80.7
249,5,38.7
216,11,161.4
522,4,14.7
140,5,32.9
148,14,110.6
94,8,61.6
27,14,146.6
276,11,67.7
424,7,68.5
228,11,51.0
381,2,21.9
128,10,47.7
102,5,39.1
154,9,35.9
154,5,69.9
197,2,25.3
456,11,43.22
33,21,127.61
417,8,34.4
106,4,18.8
76,11,51.05
96,6,97.4
55,10,66.7
19,12,105.05
5,11,78.5
28,4,22.56
51,22,185.8
207,14,183.1
217,8,197.2
543,6,22.8
40,15,109.12
270,8,92.3
88,14,141.2
402,13,118.38
379,12,111.3
339,8,47.4
414,2,12.8
67,12,93.64
97,10,74.44
31,12,99.2
29,7,59.22
295,10,62.45
256,6,61.2
164,5,51.2
157,20,180.64
121,7,44.8
61,10,85.6
211,7,74.66
130,6,55.1
134,16,195.7
209,7,36.55
145,4,13.0
44,7,34.65
154,11,137.0
92,4,70.4
134,4,39.6
317,6,30.0
49,14,193.0
84,19,98.9
24,12,93.15
43,14,72.99
575,2,10.7
75,6,65.0
229,6,38.6
104,9,99.8
173,21,126.9
45,13,115.3
82,16,157.7
114,20,179.8
435,2,16.2
146,19,185.8
489,11,49.6
137,6,42.2
74,13,67.8
236,10,72.0
61,14,137.52
42,11,204.15
105,5,36.6
441,4,39.0
91,20,140.86
121,4,21.7
244,14,115.9
22,12,110.5
532,9,112.0
127,21,129.75
49,10,43.35
69,6,108.1
37,10,85.3
296,4,57.2
146,11,114.62
320,8,76.12
333,4,20.8
180,7,101.5
17,19,160.6
355,4,25.2
15,12,54.9
205,10,70.8
0,2,11.1
394,10,53.17
148,4,44.2
433,16,91.24
64,15,93.95
88,11,101.0
160,14,76.76
567,9,100.7
103,8,120.55
211,5,25.9
67,2,114.9
241,5,76.6
95,4,23.3
77,3,6.7
352,3,41.9
299,6,105.9
39,17,193.7
76,10,49.83
60,4,54.7
16,7,89.2
143,16,199.6
34,8,39.75
76,9,76.0
113,6,56.9
112,2,7.6
151,6,42.2
21,23,201.2
124,8,103.8
175,9,81.9
86,12,83.1
201,15,58.22
234,10,51.75
2,21,150.12
128,16,159.24
129,7,82.4
71,7,47.3
37,6,44.7
131,13,118.8
99,13,83.99
22,4,32.0
37,6,51.85
70,6,11.65
80,6,49.4
11,12,55.34
7,18,86.86
276,4,13.2
122,7,32.45
190,19,84.5
232,4,22.6
137,4,47.6
68,16,180.4
127,13,139.6
46,18,91.1
41,9,67.8
352,2,20.6
121,7,64.1
527,4,10.25
412,8,73.4
411,4,75.2
447,4,37.45
10,13,134.29
175,11,86.7
117,7,33.22
307,13,153.9
155,7,54.45
319,11,201.5
80,6,62.46
7,11,113.22
490,6,32.3
255,8,101.95
227,10,76.95
99,4,47.4
84,15,140.0
97,14,146.7
41,14,139.24
253,16,113.56
14,9,66.01
23,15,148.4
131,5,35.25
10,12,96.8
14,12,73.2
84,9,95.3
185,4,23.9
100,8,32.2
15,12,95.12
52,17,101.85
36,18,145.23
47,5,32.54
209,12,65.76
479,9,165.35
157,5,36.4
3,9,112.0
99,8,48.11
33,13,116.9
131,8,53.0
342,14,84.0
223,12,137.7
140,9,36.54
206,12,81.65
181,10,146.1
77,10,82.66
32,12,73.2
195,9,83.65
10,11,55.2
344,6,18.0
26,8,58.0
229,15,170.9
75,6,59.04
164,14,168.41
253,5,53.6
342,10,103.0
37,10,45.9
53,12,108.0
137,3,25.3
252,8,66.7
211,20,182.4
265,10,70.0
324,5,32.7
60,16,161.3
72,11,69.4
54,16,95.3
201,16,159.3
602,6,34.44
92,6,38.2
339,2,8.6
90,11,111.27
436,7,35.8
78,15,151.14
10,11,39.6
234,12,108.5
294,2,20.55
71,9,110.4
343,5,72.06
36,12,56.4
33,18,107.5
90,6,53.1
63,10,51.9
154,8,81.5
308,8,63.51
572,4,19.0
114,8,44.6
54,6,33.3
42,7,61.4
123,4,12.1
53,13,146.28
165,5,68.2
97,8,69.2
84,14,180.0
422,4,20.6
267,10,82.15
572,3,38.6
188,6,60.9
612,2,49.0
41,12,95.22
142,11,111.23
141,15,109.9
125,12,90.0
376,11,76.2
147,16,169.96
95,7,69.4
339,8,62.8
323,2,9.0
614,4,93.3
258,12,81.6
0,6,22.7
297,9,31.0
188,19,156.0
158,7,49.3
359,10,148.6
18,5,16.8
193,6,72.9
48,9,53.6
164,10,62.25
221,9,93.0
92,11,176.94
118,11,78.9
381,4,17.09
290,11,97.7
414,8,40.4
145,9,44.2
62,11,120.56
151,11,56.8
166,8,80.06
85,12,126.96
462,4,19.92
194,10,107.5
115,12,65.3
20,15,117.75
22,9,122.4
35,7,40.95
59,11,83.4
195,10,94.45
118,18,187.5
303,5,59.8
141,4,40.1
468,7,30.8
299,13,102.52
144,13,108.8
454,6,43.85
10,11,177.1
258,4,41.15
377,5,21.1
190,7,73.6
366,7,45.6
80,11,69.9
120,20,128.25
136,6,37.75
32,10,74.75
80,6,39.1
50,10,101.67
323,5,27.3
208,15,127.91
173,8,58.76
82,14,103.4
542,2,13.8
507,2,22.8
576,4,33.0
81,10,94.9
222,14,117.65
93,13,169.45
186,2,64.2
94,12,108.6
298,8,54.3
74,7,40.5
266,8,74.2
153,8,95.8
88,14,156.4
31,13,74.3
63,12,88.4
492,2,5.3
345,4,30.6
34,14,128.8
43,2,24.2
28,8,91.05
181,13,80.6
257,6,19.2
148,6,28.2
12,6,83.42
2,19,170.95
246,10,82.5
296,13,108.1
193,5,27.7
214,4,45.66
8,22,210.51
216,17,186.6
27,15,109.2
238,14,155.7
124,9,86.05
6,20,164.2
66,13,113.35
330,13,104.36
324,9,89.6
24,12,100.9
17,12,69.41
29,12,81.54
73,9,78.9
208,12,87.82
106,10,74.9
276,15,141.8
229,8,98.56
123,5,108.3
213,11,68.15
288,2,4.4
215,4,55.1
76,8,73.4
190,16,205.0
83,20,131.17
162,6,34.3
340,12,135.7
12,12,105.85
131,9,85.35
229,8,64.9
437,7,33.3
562,6,26.15
61,8,62.75
184,13,65.5
56,10,108.95
181,2,39.9
352,8,59.2
96,14,93.85
91,9,86.3
49,14,151.6
101,6,81.9
116,13,142.0
33,14,89.0
359,11,79.34
150,4,33.32
353,7,58.7
346,7,89.46
142,6,42.84
400,8,90.6
353,4,35.5
64,2,53.7
233,3,57.6
346,7,38.42
287,13,131.4
14,4,26.2
26,6,99.9
14,8,84.2
213,12,83.12
56,16,137.84
111,11,94.2
101,12,97.85
280,2,12.4
11,19,140.56
98,22,202.0
2,10,47.9
566,2,5.35
304,2,5.92
85,20,166.8
50,7,69.07
102,10,107.3
6,9,39.35
518,6,122.6
182,2,6.4
93,7,102.34
82,13,93.54
184,11,121.62
476,6,28.6
1,12,64.07
281,16,137.68
59,17,117.2
229,9,74.5
315,5,38.54
35,10,67.3
10,14,128.42
205,6,83.16
348,6,33.7
234,6,82.3
387,10,110.9
197,13,121.2
368,6,52.3
134,6,41.6
258,15,110.58
31,9,57.3
22,10,78.0
311,7,69.7
168,4,30.3
420,4,17.4
32,13,82.22
15,13,97.8
160,5,30.2
84,11,120.84
137,13,105.8
22,11,121.2
589,10,110.0
32,18,134.4
373,10,115.02
376,4,26.3
214,9,37.1
13,10,51.5
104,15,191.9
337,4,33.3
19,18,158.91
166,16,116.32
579,4,10.5
358,6,62.64
239,6,53.09
242,9,50.7
497,6,15.3
159,12,89.7
121,14,129.0
98,19,149.35
15,9,111.16
124,13,101.62
315,6,73.3
88,8,57.5
37,14,105.75
66,11,156.6
113,15,106.3
192,17,158.6
134,13,71.5
49,8,53.8
74,8,143.5
109,19,178.26
122,6,56.6
118,6,19.6
495,2,10.1
190,14,154.3
21,11,138.6
216,8,93.0
258,5,35.0
259,4,49.0
102,6,78.5
82,16,177.75
227,19,165.02
86,12,147.29
362,6,32.6
25,12,83.0
406,8,60.62
47,16,166.19
131,14,51.56
25,15,100.4
15,7,50.8
257,14,98.1
408,5,107.6
496,11,79.85
87,6,51.94
356,7,26.2
321,11,139.3
283,12,154.15
11,10,111.3
115,10,66.83
29,13,142.1
76,11,81.3
23,17,110.96
295,10,76.3
112,21,189.93
39,11,78.0
292,6,69.7
17,14,86.65
574,2,21.0
144,14,133.9
55,9,81.6
422,2,11.4
130,9,93.8
94,9,64.5
38,21,150.3
49,10,60.0
517,4,34.8
458,6,68.1
313,3,7.5
113,17,203.5
187,9,46.15
131,17,85.45
184,4,33.96
344,12,98.4
64,12,77.57
18,14,137.0
103,7,86.5
92,12,157.05
36,11,86.6
45,15,134.7
313,4,51.6
60,10,92.34
180,15,73.92
196,8,56.43
427,8,87.6
113,9,79.8
2,21,204.0
1,17,74.9
175,8,85.6
152,6,49.7
458,7,30.65
141,11,129.16
9,15,114.69
50,19,140.7
360,4,45.7
382,6,23.0
129,6,55.7
99,13,100.7
12,9,70.7
87,5,38.3
280,5,67.78
4,6,19.2
164,8,76.7
3,11,124.3
81,9,150.2
84,12,86.8
292,8,29.8
98,13,104.8
230,11,64.3
139,9,57.3
347,8,57.1
182,6,26.4
324,2,11.0
50,14,126.8
26,10,37.85
209,7,26.9
484,5,111.45
351,10,40.05
101,13,46.7
36,6,74.76
63,8,75.5
140,14,136.75
226,7,46.45
35,5,41.15
174,4,18.1
133,7,69.5
8,10,62.42
12,6,19.92
50,20,209.84
145,5,20.7
118,16,121.4
155,11,83.7
28,8,99.36
511,2,4.9
38,15,159.22
24,9,85.55
112,4,23.0
259,14,97.62
325,2,63.9
138,11,127.7
30,11,76.9
3,8,56.9
0,13,125.6
3,9,61.25
168,8,105.1
92,14,121.8
169,21,202.74
15,12,80.3
58,10,79.9
161,12,96.28
152,8,48.3
180,12,100.5
210,14,99.7
24,6,34.77
16,10,70.2
509,8,49.3
179,15,130.06
44,11,97.54
75,4,21.1
141,5,53.1
72,7,65.3
122,11,77.54
493,4,57.5
177,12,90.75
372,7,70.4
52,14,123.52
50,13,95.5
53,7,59.3
77,8,35.6
156,7,43.2
45,4,20.6
300,17,132.7
474,6,28.2
36,8,71.0
139,10,85.85
335,9,74.6
42,12,43.35
237,5,37.8
36,12,148.6
5,10,63.45
128,16,201.92
7,16,163.14
70,6,83.6
359,13,119.52
163,14,73.23
7,15,194.4
124,10,95.8
68,6,58.4
140,2,10.6
429,6,72.7
133,9,74.85
411,10,111.2
1,14,98.55
169,10,87.8
93,12,75.74
333,3,44.92
526,2,22.4
82,19,167.3
167,7,91.1
128,11,86.4
166,8,76.1
217,2,39.4
361,16,157.4
19,11,98.44
292,4,74.2
370,4,52.3
66,8,29.45
29,18,155.76
266,6,92.3
43,12,124.0
16,12,99.85
46,12,143.8
279,5,67.5
249,20,153.97
291,10,35.4
65,5,53.1
211,13,84.25
2,5,42.8
245,18,97.64
14,10,104.5
385,3,4.8
90,15,112.54
443,6,41.32
223,8,49.3
341,17,134.45
137,15,125.25
49,3,59.1
38,15,160.1
14,19,158.9
69,19,197.0
19,17,145.44
550,4,31.86
101,14,103.1
487,6,33.35
338,8,60.7
405,4,19.3
102,8,43.4
126,5,22.6
70,7,75.04
366,7,38.35
213,18,149.25
129,17,75.45
188,2,9.0
580,4,27.2
228,8,72.0
222,16,126.85
27,16,163.9
371,7,43.56
16,8,53.55
459,4,25.2
90,11,65.7
81,9,65.5
134,4,61.8
508,7,39.0
60,8,42.2
393,2,18.0
24,19,178.54
318,7,77.24
94,7,30.5
33,16,102.2
252,5,36.9
104,6,67.2
110,10,78.0
468,4,12.9
446,5,83.4
48,8,61.1
252,1,2.4
304,12,96.1
273,7,43.6
29,12,86.55
588,7,43.9
186,18,135.1
49,7,100.6
52,13,152.7
32,9,85.2
38,16,193.71
475,4,32.12
4,13,116.69
23,12,77.15
35,18,141.7
182,5,45.76
14,10,105.1
223,6,57.2
75,7,26.9
22,16,172.97
475,4,86.2
243,8,71.9
390,6,33.4
101,8,62.9
261,4,84.66
16,16,110.55
197,5,38.29
394,2,4.2
97,11,62.1
245,6,47.1
156,8,56.3
34,12,121.8
20,8,36.1
483,6,41.7
106,6,17.0
53,14,129.9
7,6,33.6
32,11,99.05
379,6,57.39
141,8,70.1
242,6,72.0
29,11,49.2
141,8,82.7
353,3,7.5
84,12,60.4
375,4,27.0
107,16,140.6
38,13,100.1
244,15,85.4
56,17,185.5
56,10,104.3
82,10,125.6
58,11,101.4
36,19,161.76
179,8,74.3
119,11,76.0
541,4,78.7
340,8,61.8
32,10,60.55
45,9,114.88
501,11,104.69
217,9,69.3
100,9,73.0
42,6,39.8
44,6,72.94
73,17,123.56
316,6,79.5
132,11,46.45
77,4,19.5
108,14,107.2
95,13,67.54
134,10,159.3
290,2,36.7
177,15,117.4
98,16,192.1
201,20,170.72
214,14,98.0
552,2,14.9
142,6,41.3
412,4,22.1
57,10,157.5
244,6,81.2
395,8,69.92
15,10,108.4
32,5,50.4
50,11,107.11
263,4,18.0
272,10,68.9
161,6,29.3
275,3,29.14
212,2,7.4
369,6,37.73
102,4,37.2
181,4,53.8
93,12,61.5
81,9,49.85
225,8,69.5
245,15,144.6
215,15,167.15
122,12,131.3
191,7,65.1
107,8,62.95
330,11,96.37
81,2,24.7
113,8,48.2
242,10,82.1
227,15,160.3
37,10,97.9
14,10,127.8
41,20,212.9
156,2,8.0
144,23,135.4
249,15,99.18
12,9,82.35
320,10,53.54
2,13,92.75
30,12,156.25
133,7,75.2
337,5,23.1
363,7,52.1
152,12,132.63
168,5,37.5
126,7,133.7
579,2,14.5
63,7,27.96
54,10,83.3
595,4,25.14
212,10,86.2
549,9,37.59
80,6,66.2
212,13,88.5
204,9,70.7
274,2,7.8
47,13,133.95
73,10,132.96
280,7,71.3
189,16,155.6
118,9,36.6
212,23,209.6
0,8,80.5
404,2,38.1
67,15,92.9
238,12,74.0
74,12,69.0
109,5,50.7
130,8,29.2
111,21,161.7
89,13,78.15
446,8,22.35
380,8,59.2
430,11,96.62
346,9,71.6
122,11,77.85
180,11,63.2
239,6,14.8
264,6,69.35
0,17,171.4
387,3,33.8
44,15,106.6
70,17,152.42
111,8,101.8
8,10,98.8
38,5,42.2
401,2,24.2
12,4,23.48
439,5,63.3
23,9,64.2
1,10,129.9
482,2,13.4
60,8,49.22
11,10,71.9
191,11,71.2
358,9,52.2
58,11,86.65
138,4,52.3
4,10,177.32
82,19,148.52
1,12,143.12
102,11,56.45
50,7,49.8
60,8,180.3
145,15,117.9
10,2,9.0
154,4,67.8
16,9,55.3
223,2,18.8
90,4,31.9
98,6,58.36
37,13,167.0
45,4,21.4
36,11,133.35
278,9,121.6
205,2,19.5
408,5,26.9
325,11,144.02
52,23,215.0
131,4,32.4
256,15,177.8
493,3,36.8
322,4,46.9
10,14,127.48
28,12,70.55
144,6,28.98
541,7,113.0
149,10,76.04
56,8,86.8
7,15,98.22
26,21,163.9
20,14,117.1
10,8,77.25
102,8,82.69
118,16,105.0
112,16,88.1
59,7,57.4
61,12,77.32
264,6,75.5
421,4,11.5
2,13,100.7
57,8,66.5
577,4,28.65
188,11,69.75
79,10,85.7
2,8,84.45
41,14,116.0
383,4,41.4
347,4,31.1
10,9,35.9
344,2,11.1
248,6,51.86
